Time,Continuous Diameter (cm),Shear Rate (1/s),,,,,,,,,,,,,,,,,,,,,,,,,Pre,During,,baselinesrauc,,17991.831
34,0.535,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.544,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.545,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.523,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.527,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.53,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.524,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.529,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.53,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.526,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.529,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.533,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.527,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.529,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.533,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.529,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.531,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.534,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.535,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.534,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.531,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.523,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.518,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.525,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.522,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.522,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.509,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.528,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.534,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.528,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.531,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.523,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.53,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.529,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.522,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.524,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.522,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.52,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.53,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.519,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.521,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.526,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.521,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.515,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.52,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.515,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.519,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.52,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0.516,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.538,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.535,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.515,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.536,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0.536,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.529,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.541,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.531,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0.522,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.535,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.538,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.531,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.535,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0.539,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0.535,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0.538,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0.547,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.532,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0.536,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0.551,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0.544,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.545,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.547,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0.537,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.538,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.553,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0.542,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.533,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.549,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0.544,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0.532,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0.536,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.547,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0.536,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0.55,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0.553,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0.552,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.563,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0.531,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0.552,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0.544,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0.533,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.548,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.552,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0.541,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.549,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0.55,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.546,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0.551,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0.549,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0.542,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.552,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.551,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0.543,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0.552,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.554,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0.547,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.547,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.554,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0.55,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0.546,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.55,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0.552,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.552,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.553,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.557,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.565,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.55,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0.554,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0.565,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0.558,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0.556,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.562,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.558,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0.549,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.544,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.55,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.552,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.549,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0.549,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0.558,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0.555,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.554,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.555,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0.555,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0.557,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0.552,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.544,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0.555,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0.56,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0.544,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0.541,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.543,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.551,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0.536,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.55,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0.553,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.547,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0.55,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0.557,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,0.554,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0.544,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0.554,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0.554,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0.547,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0.551,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0.557,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0.561,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0.55,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0.551,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0.559,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0.556,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0.549,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0.552,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0.551,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0.555,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0.55,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.551,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,0.552,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0.549,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0.556,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0.551,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0.55,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.553,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0.542,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0.551,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0.557,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0.558,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0.547,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0.545,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0.556,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0.551,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.551,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0.552,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,0.547,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0.556,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.556,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0.545,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0.558,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0.556,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0.553,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,0.552,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0.546,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0.547,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.554,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0.553,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0.535,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0.542,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,0.546,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0.548,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,0.547,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0.541,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,0.535,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.543,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0.536,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,0.543,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,0.546,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.545,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,0.546,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,0.544,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,0.538,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,0.543,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0.542,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0.538,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0.545,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,0.543,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0.538,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.537,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,0.539,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0.537,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,0.538,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0.545,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,0.544,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.543,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,0.549,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,0.531,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,0.531,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.537,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,0.544,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,0.546,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,0.542,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,0.526,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0.541,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0.538,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,0.541,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0.537,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,0.541,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
